[10577.230] GET http://localhost:3000/_next/static/chunks/node_modules_emoji-picker-react_dist_emoji-picker-react_esm_95c26468.js (Script) 200
[10577.231] GET http://localhost:3000/_next/static/chunks/node_modules_%40radix-ui_b464f085._.js (Script) 200
[10577.232] GET http://localhost:3000/_next/static/chunks/node_modules_%40floating-ui_1b6e7b6d._.js (Script) 200
[10577.233] GET http://localhost:3000/_next/static/chunks/node_modules_7ac13c0c._.js (Script) 200
[10577.234] GET http://localhost:3000/_next/static/chunks/src_app_(app)_%5B___slug%5D_page_tsx_3bcc07da._.js (Script) 200
[10577.235] GET http://localhost:3000/api/notifications/unified?lu=false&limit=20 (Fetch) 200
[10577.236] GET http://localhost:3000/api/stats/admin?adminId=cmq24mga80002iapr8ylzqxum (Fetch) 200
[10577.237] GET http://localhost:3000/api/abonnements/pending-b2b (Fetch) 200
[10577.238] GET http://localhost:3000/api/etablissement-access?adminId=cmq24mga80002iapr8ylzqxum (Fetch) 200
[10577.239] POST http://localhost:3000/api/badges (Fetch) 200
[10577.240] GET http://localhost:3000/api/notifications/unified?lu=false&limit=20 (Fetch) 200
[10577.241] GET http://localhost:3000/api/notifications/stream (EventSource)
[10577.242] GET http://localhost:3000/api/badges (Fetch) 200
[36D33DC7E276FE7E1B06DF6CC5E8E60D] GET http://localhost:3000/securite (Document) 200
[10577.244] GET http://localhost:3000/_next/static/media/051742360c26797e-s.p.102b7f24.woff2 (Font) 200
[10577.245] GET http://localhost:3000/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 (Font) 200
[10577.246] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__ef31c63b._.css (Stylesheet) 200
[10577.247] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js (Script) 200
[10577.248] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js (Script) 200
[10577.249] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js (Script) 200
[10577.250] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js (Script) 200
[10577.251] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js (Script) 200
[10577.252] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js (Script) 200
[10577.253] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js (Script) 200
[10577.254] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js (Script) 200
[10577.255] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js (Script) 200
[10577.256] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js (Script) 200
[10577.257] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js (Script) 200
[10577.258] GET http://localhost:3000/_next/static/chunks/src_app_icon_svg_mjs_4169252f._.js (Script) 200
[10577.259] GET http://localhost:3000/_next/static/chunks/node_modules_7b2906af._.js (Script) 200
[10577.260] GET http://localhost:3000/_next/static/chunks/src_419c974a._.js (Script) 200
[10577.261] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js (Script) 200
[10577.262] GET http://localhost:3000/_next/static/chunks/_1bcb2d43._.js (Script) 200
[10577.263] GET http://localhost:3000/_next/static/chunks/src_hooks_0f8e84af._.js (Script) 200
[10577.264] GET http://localhost:3000/_next/static/chunks/src_components_ui_02f9526f._.js (Script) 200
[10577.265] GET http://localhost:3000/_next/static/chunks/src_components_layout_b6270b77._.js (Script) 200
[10577.266] GET http://localhost:3000/_next/static/chunks/src_components_ds_2ec7e56d._.js (Script) 200
[10577.267] GET http://localhost:3000/_next/static/chunks/src_components_shared_bf5ea8ae._.js (Script) 200
